REF,ETUD,LOCA,REG,DPT,COM,INSEE,TICO,ADRS,STAT,AFFE,PPRO,DPRO,AUTR,SCLE,,,,,,,,,,,,,,,,,,,,,
PA00083329,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 24,propriété d'une personne privée,,La façade et la toiture (cad. R 562 , KL 0246) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,
PA00083328,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 23 , Porte-du-Caillou (rue de la),propriété d'une personne privée,,"La façade et la toiture, avec retour sur la rue de la Porte-du-Caillou. (cad. R 561 ", KL 0246) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,
PA00083327,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 22 , Porte-du-Caillou (rue de la),propriété d'une personne privée,,"La façade et la toiture, avec retour sur la rue de la Porte-du-Caillou. (cad. R 557 ", KL 0134) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,
PA00083326,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 21,propriété d'une personne privée,,La façade et la toiture (cad. R 556 , KL 0134) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,
PA00083325,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 20,propriété d'une personne privée,,La façade et la toiture (cad. R 555) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083324,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 19,propriété d'une personne privée,,La façade et la toiture (cad. R 554) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083323,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 18,propriété d'une personne privée,,La façade et la toiture (cad. R 553) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083322,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 17,propriété d'une personne privée,,La façade et la toiture (cad. R 552) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083321,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 16,propriété d'une personne privée,,La façade et la toiture (cad. R 551) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083320,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 15,propriété d'une personne privée,,La façade et la toiture (cad. R 550) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083319,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 14bis,propriété d'une personne privée,,La façade et la toiture (cad. R 549) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083318,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 14 , Bourgeois (rue du quai),propriété d'une personne privée,,"La façade et la toiture, avec retour sur la rue du quai Bourgeois. (cad. R 548) : inscription par arrêté du 14 avril 1951",1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Gabriel (architecte),18e siècle,,,,,,,,,,,,,,,,,
PA00083317,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 13 , Bourgeois (rue du quai),propriété d'une personne privée,,"La façade et la toiture, avec retour sur la rue du quai Bourgeois. (cad. KL 0125) : inscription par arrêté du 14 avril 1951",1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,
PA00083316,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 12,propriété d'une personne privée,,La façade et la toiture (cad. R 546 , KL 124) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,
PA00083315,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 11,propriété d'une personne privée,,La façade et la toiture (cad. R 545 , KL 123) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,
PA00083314,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 10,propriété d'une personne privée,,La façade et la toiture (cad. KL 0122) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083313,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 9,propriété d'une personne privée,,La façade et la toiture (cad. R 543) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083312,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 8,propriété d'une personne privée,,La façade et la toiture (cad. R 542) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083311,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 7,propriété d'une personne privée,,La façade et la toiture (cad. R 541) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083310,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 6,propriété d'une personne privée,,La façade et la toiture (cad. R 540) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083309,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 5,propriété d'une personne privée,,La façade et la toiture (cad. R 539) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083308,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 4 , Bourgeois (rue du quai),propriété d'une personne privée,,"La façade et la toiture, avec retour sur la rue du quai Bourgeois. (cad. R 538) : inscription par arrêté du 14 avril 1951",1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,
PA00083307,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 3 , Bourgeois (rue du quai),propriété d'une personne privée,,"La façade et la toiture, avec retour sur la rue du quai Bourgeois. (cad. R 537) : inscription par arrêté du 14 avril 1951",1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,
PA00083306,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 2,propriété d'une personne privée,,La façade et la toiture (cad. R 536) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083305,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Richelieu (quai) 1 , Cour-des-Aides (rue de la),propriété d'une personne privée,,"La façade et la toiture, avec retour sur la rue de la Cour-des-Aides (cad. R 535) : inscription par arrêté du 14 avril 1951",1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,
PA00083304,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Porte-du-Caillou (rue de la) 2,,,La façade et la toiture (cad. R 559) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083303,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Porte-du-Caillou (rue de la) 1,,,La façade et la toiture (cad. R 558) : inscription par arrêté du 14 avril 1951,1951/04/14 : inscrit MH,Gabriel Jacques (architecte) , Gabriel Ange-Jacques (architecte),18e siècle,,,,,,,,,,,,,,,,,,
PA00083302,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Parlement (place du) 18,propriété d'une personne privée,,Façade et toiture (cad. F 638) : inscription par arrêté du 17 avril 1952,1952/04/17 : inscrit MH,,18e siècle,,,,,,,,,,,,,,,,,,,
PA00083301,recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Parlement (place du) 17,propriété d'une personne privée,,La façade et la toiture (cad. F 638) : inscription par arrêté du 17 avril 1952,1952/04/17 : inscrit MH,,18e siècle,,,,,,,,,,,,,,,,,,,
PA00083300,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Parlement (place du) 16,propriété d'une personne privée,,La façade et la toiture (cad. F 636) : inscription par arrêté du 17 avril 1952,1952/04/17 : inscrit MH,,18e siècle,,,,,,,,,,,,,,,,,,,
PA00083299,recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Parlement (place du) 15,propriété privée,,La façade et la toiture (cad. F 635) : inscription par arrêté du 17 avril 1952,1952/04/17 : inscrit MH,,18e siècle,,,,,,,,,,,,,,,,,,,
PA00083298,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Parlement (place du) 14,propriété d'une personne privée,,La façade et la toiture (cad. F 634) : inscription par arrêté du 17 avril 1952,1952/04/17 : inscrit MH,,18e siècle,,,,,,,,,,,,,,,,,,,
PA00083297,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Parlement (place du) 13 , Lauriers (rue des) 10,propriété d'une personne privée,,"La façade et la toiture et retour 10, rue des Lauriers (cad. F 633) : inscription par arrêté du 17 avril 1952",1952/04/17 : inscrit MH,,18e siècle,,,,,,,,,,,,,,,,,,
PA00083296,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Parlement (place du) 12,propriété d'une personne privée,,La façade et la toiture (cad. F 472) : inscription par arrêté du 17 avril 1952,1952/04/17 : inscrit MH,,18e siècle,,,,,,,,,,,,,,,,,,,
PA00083295,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Parlement (place du) 11,propriété d'une personne privée,,La façade et la toiture (cad. F 471) : inscription par arrêté du 17 avril 1952,1952/04/17 : inscrit MH,,18e siècle,,,,,,,,,,,,,,,,,,,
PA00083294,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Parlement (place du) 10 , Parlement-Sainte-Catherine (rue du) 1,propriété d'une personne privée,,"La façade et la toiture et retour, 1, rue du Parlement-Sainte-Catherine (cad. F 470) : inscription par arrêté du 17 avril 1952",1952/04/17 : inscrit MH,,18e siècle,,,,,,,,,,,,,,,,,,
PA00083293,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Parlement (place du) 9,propriété d'une personne privée,,La façade et la toiture (cad. P 5) : inscription par arrêté du 17 avril 1952,1952/04/17 : inscrit MH,,18e siècle,,,,,,,,,,,,,,,,,,,
PA00083292,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Parlement (place du) 8,propriété d'une personne privée,,La façade et la toiture (cad. P 4) : inscription par arrêté du 17 avril 1952,1952/04/17 : inscrit MH,,18e siècle,,,,,,,,,,,,,,,,,,,
PA00083291,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Parlement (place du) 7,propriété d'une personne privée,,La façade et la toiture (cad. P 3) : inscription par arrêté du 17 avril 1952,1952/04/17 : inscrit MH,,18e siècle,,,,,,,,,,,,,,,,,,,
PA00083290,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Parlement (place du) 6,propriété d'une personne privée,,La façade et la toiture (cad. P 12) : inscription par arrêté du 17 avril 1952,1952/04/17 : inscrit MH,,18e siècle,,,,,,,,,,,,,,,,,,,
PA00083289,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Parlement (place du) 5 , Parlement-Saint-Pierre (rue du) 31,propriété d'une personne privée,,"La façade et la toiture et retour 31, rue du Parlement-Saint-Pierre (cad. F 661) : inscription par arrêté du 17 avril 1952",1952/04/17 : inscrit MH,,18e siècle,,,,,,,,,,,,,,,,,,
PA00083288,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Parlement (place du) 4,propriété d'une personne privée,,La façade et la toiture (cad. F 661) : inscription par arrêté du 17 avril 1952,1952/04/17 : inscrit MH,,18e siècle,,,,,,,,,,,,,,,,,,,
PA00083287,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Parlement (place du) 3,propriété d'une personne privée,,La façade et la toiture (cad. F 660) : inscription par arrêté du 17 avril 1952,1952/04/17 : inscrit MH,,18e siècle,,,,,,,,,,,,,,,,,,,
PA00083286,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Parlement (place du) 2,propriété d'une personne privée,,La façade et la toiture (cad. F 659) : inscription par arrêté du 17 avril 1952,1952/04/17 : inscrit MH,,18e siècle,,,,,,,,,,,,,,,,,,,
PA00083285,recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Parlement (place du) 1 , Ferdinand-Philippart (rue) 24,propriété d'une personne privée,,"Les façades et les toitures avec leur retour 24, rue Ferdinand-Philippart (cad. F 658) : inscription par arrêté du 17 avril 1952",1952/04/17 : inscrit MH,,18e siècle,,,,,,,,,,,,,,,,,,
PA00083284,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Place du Parlement,Parlement (place du),propriété de la commune,,Sol de la place (non cadastré) : inscription par arrêté du 17 avril 1952,1952/04/17 : inscrit MH,,18e siècle,,,,,,,,,,,,,,,,,,,
PA00083283,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble,Palais-Gallien (rue du) 87,propriété d'une personne privée,,La façade sur rue et la toiture correspondante (cad. K 95) : inscription par arrêté du 24 juin 1963,1963/06/24 : inscrit MH,,18e siècle,,,,,,,,,,,,,,,,,,,
PA00083282,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble (reste du Noviciat des Jésuites),Noviciat (rue du) 19,propriété d'une société privée,,"Les façades sur rue et sur cour ainsi que les toitures correspondantes (cad. S 1074, 175, 176) : inscription par arrêté du 14 septembre 1965",1965/09/14 : inscrit MH,,17e siècle,,,,,,,,,,,,,,,,,,,
PA00083281,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble (reste du Noviciat des Jésuites),Noviciat (rue du) 17,propriété d'une société privée,,"Les façades sur rue et sur cour ainsi que les toitures correspondantes. (cad. S 1075, 1076) : inscription par arrêté du 14 septembre 1965",1965/09/14 : inscrit MH,,17e siècle,,,,,,,,,,,,,,,,,,,
PA00083280,Recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble (reste du Noviciat des Jésuites),Noviciat (rue du) 15,propriété d'une personne privée,,Les façades sur rue et sur cour ainsi que les toitures correspondantes. (cad. S 1075) : inscription par arrêté du 14 septembre 1965,1965/09/14 : inscrit MH,,17e siècle,,,,,,,,,,,,,,,,,,,
PA00083279,recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble (reste du Noviciat des Jésuites),Noviciat (rue du) 13,propriété d'une société privée,,Les façades sur rue et sur cour ainsi que les toitures correspondantes (cad. S 1074) : inscription par arrêté du 14 septembre 1965,1965/09/14 : inscrit MH,,17e siècle,,,,,,,,,,,,,,,,,,,
PA00083278,recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble (reste du Noviciat des Jésuites),Noviciat (rue du) 11,propriété d'une société privée,,Les façades sur rue et sur cour ainsi que les toitures correspondantes (cad. S 1073) : inscription par arrêté du 14 septembre 1965,1965/09/14 : inscrit MH,,17e siècle,,,,,,,,,,,,,,,,,,,
PA00083277,recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Immeuble (reste du Noviciat des Jésuites),Noviciat (rue du) 9,propriété d'une société privée,,Les façades sur rue et sur cour ainsi que les toitures correspondantes (cad. S 1072) : inscription par arrêté du 14 septembre 1965,1965/09/14 : inscrit MH,,17e siècle,,,,,,,,,,,,,,,,,,,
